,disc_version_id,content_type,event_id,(disc_title)
,1,songs,,大衆音楽
,2,songs,,大衆音楽
,3,songs,,フロップニク
,4,songs,,常夜燈
,5,songs,,GANG AGE
,6,songs,,GANG AGE
,7,songs,,113号室
,8,songs,,スラップスティック・ガール
,9,songs,,"Something Sweet, Something Excellent"
,10,songs,,"Something Sweet, Something Excellent"
,11,songs,,ゴースト
,12,songs,,PEOPLE
,13,songs,,怪獣
,14,songs,,スクール!!
,15,songs,,PEOPLE
,16,songs,,PEOPLE
,17,songs,,PEOPLE
,17,events,1,PEOPLE
,18,songs,,銃の部品
,19,songs,,Re:銃の部品 feat.TOOBOE
,20,songs,,YOUNG TOWN
,21,songs,,紫陽花
,22,songs,,Deadstock feat. きのぽっぽ
,23,songs,,Re:Deadstock feat. WurtS
,24,songs,,DOGLAND
,25,songs,,Ratpark feat. 菅原圭
,26,songs,,GOLD
,27,songs,,GOLD
,28,songs,,GOLD
,29,songs,,GOLD
,29,events,12,GOLD
,30,songs,,GOLD
,30,others,,GOLD
,31,songs,,closer
,32,songs,,PEOPLE SAVE THE MACHINE
,33,songs,,星巡り、君に金星
,34,songs,,星巡り、君に金星
,35,songs,,星巡り、君に金星
,35,events,18,星巡り、君に金星
,35,events,26,星巡り、君に金星
,35,events,41,星巡り、君に金星
,36,songs,,ドキドキする
,37,songs,,ハートブレイク・ダンスミュージック
,38,songs,,idiot
,39,songs,,メリバ
,40,events,47,PEOPLE IN THE GAS STATION
,40,events,63,PEOPLE IN THE GAS STATION
,40,others,,PEOPLE IN THE GAS STATION
