disc_item_id,disc_content_id,position,song_id,is_arranged,title
1,1,1,39,FALSE,
2,1,2,19,FALSE,
3,1,3,43,FALSE,
4,1,4,22,FALSE,
5,1,5,24,FALSE,
6,2,1,39,FALSE,
7,2,2,19,FALSE,
8,2,3,43,FALSE,
9,2,4,22,FALSE,
10,2,5,24,FALSE,
11,3,1,10,FALSE,
12,4,1,4,FALSE,
13,5,1,26,FALSE,
14,5,2,10,FALSE,
15,5,3,31,FALSE,
16,5,4,4,FALSE,
17,5,5,32,FALSE,
18,6,1,26,FALSE,
19,6,2,10,FALSE,
20,6,3,31,FALSE,
21,6,4,4,FALSE,
22,6,5,32,FALSE,
23,7,1,14,FALSE,
24,8,1,28,FALSE,
25,9,1,30,FALSE,
26,9,2,28,FALSE,
27,9,3,14,FALSE,
28,9,4,12,FALSE,
29,9,5,40,FALSE,
30,10,1,30,FALSE,
31,10,2,28,FALSE,
32,10,3,14,FALSE,
33,10,4,12,FALSE,
34,10,5,40,FALSE,
35,11,1,29,FALSE,
36,12,1,37,FALSE,
37,13,1,3,FALSE,
38,14,1,25,FALSE,
39,15,1,37,FALSE,
40,15,2,3,FALSE,
41,15,3,7,FALSE,
42,15,4,22,FALSE,
43,15,5,10,FALSE,
44,15,6,12,FALSE,
45,15,7,38,FALSE,
46,15,8,25,FALSE,
47,15,9,29,FALSE,
48,15,10,19,FALSE,
49,15,11,4,FALSE,
50,15,12,14,FALSE,
51,15,13,11,FALSE,
52,15,14,20,FALSE,
53,15,15,36,FALSE,
54,16,1,37,FALSE,
55,16,2,3,FALSE,
56,16,3,7,FALSE,
57,16,4,22,FALSE,
58,16,5,10,FALSE,
59,16,6,12,FALSE,
60,16,7,38,FALSE,
61,16,8,25,FALSE,
62,16,9,29,FALSE,
63,16,10,19,FALSE,
64,16,11,4,FALSE,
65,16,12,14,FALSE,
66,16,13,11,FALSE,
67,16,14,20,FALSE,
68,16,15,36,FALSE,
69,17,1,37,FALSE,
70,17,2,3,FALSE,
71,17,3,7,FALSE,
72,17,4,22,FALSE,
73,17,5,10,FALSE,
74,17,6,12,FALSE,
75,17,7,38,FALSE,
76,17,8,25,FALSE,
77,17,9,29,FALSE,
78,17,10,19,FALSE,
79,17,11,4,FALSE,
80,17,12,14,FALSE,
81,17,13,11,FALSE,
82,17,14,20,FALSE,
83,17,15,36,FALSE,
84,18,1,24,FALSE,
85,18,2,10,FALSE,
86,18,3,28,FALSE,
87,18,4,12,FALSE,
88,18,5,7,FALSE,
89,18,6,4,FALSE,
90,18,7,14,FALSE,
91,18,8,22,FALSE,
92,18,9,19,FALSE,
93,18,10,32,FALSE,
94,19,1,5,FALSE,
95,20,1,41,FALSE,
96,21,1,15,FALSE,
97,22,1,23,FALSE,
98,23,1,13,FALSE,
99,24,1,42,FALSE,
100,25,1,1,FALSE,
101,26,1,8,FALSE,
102,27,1,6,FALSE,
103,28,1,6,FALSE,
104,28,2,27,FALSE,
105,29,1,6,FALSE,
106,29,2,27,FALSE,
107,30,1,6,FALSE,
108,30,2,27,FALSE,
109,31,1,22,FALSE,
110,31,2,24,FALSE,
111,31,3,19,FALSE,
112,31,4,32,FALSE,
113,31,5,26,FALSE,
114,31,6,25,FALSE,
115,31,7,31,FALSE,
116,31,8,4,FALSE,
117,31,9,10,FALSE,
118,31,10,28,FALSE,
119,31,11,7,FALSE,
120,31,12,3,FALSE,
121,31,13,14,FALSE,
122,31,14,40,FALSE,
123,31,15,12,FALSE,
124,32,1,6,FALSE,
125,32,2,27,FALSE,
126,33,1,6,FALSE,GOLD (TVアニメ「王様ランキング 勇気の宝箱」ノンクレジットオープニングムービー)
127,34,1,21,FALSE,
128,35,1,17,FALSE,
129,36,1,17,FALSE,
130,36,2,5,FALSE,
131,36,3,15,FALSE,
132,36,4,23,FALSE,
133,36,5,13,FALSE,
134,36,6,1,FALSE,
135,36,7,8,FALSE,
136,36,8,6,FALSE,
137,36,9,21,FALSE,
138,36,10,16,FALSE,
139,36,11,9,FALSE,
140,36,12,18,FALSE,
141,36,13,35,FALSE,
142,36,14,2,FALSE,
143,37,1,17,FALSE,
144,37,2,5,FALSE,
145,37,3,15,FALSE,
146,37,4,23,FALSE,
147,37,5,13,FALSE,
148,37,6,1,FALSE,
149,37,7,8,FALSE,
150,37,8,6,FALSE,
151,37,9,21,FALSE,
152,37,10,16,FALSE,
153,37,11,9,FALSE,
154,37,12,18,FALSE,
155,37,13,35,FALSE,
156,37,14,2,FALSE,
157,38,1,17,FALSE,
158,38,2,5,FALSE,
159,38,3,15,FALSE,
160,38,4,23,FALSE,
161,38,5,13,FALSE,
162,38,6,1,FALSE,
163,38,7,8,FALSE,
164,38,8,6,FALSE,
165,38,9,21,FALSE,
166,38,10,16,FALSE,
167,38,11,9,FALSE,
168,38,12,18,FALSE,
169,38,13,35,FALSE,
170,38,14,2,FALSE,
171,39,1,3,FALSE,
172,39,2,24,FALSE,
