id,disc_id,version,price
1,1,streaming,
2,1,normal,1694
3,2,streaming,
4,3,streaming,
5,4,streaming,
6,4,normal,1694
7,5,streaming,
8,6,streaming,
9,7,streaming,
10,7,normal,1694
11,8,streaming,
12,9,streaming,
13,10,streaming,
14,11,streaming,
15,12,streaming,
16,12,normal,3080
17,12,first_press_limited,4180
18,13,streaming,
19,14,streaming,
20,15,streaming,
21,16,streaming,
22,17,streaming,
23,18,streaming,
24,19,streaming,
25,20,streaming,
26,21,streaming,
27,22,streaming,
28,22,normal,1000
29,22,first_press_limited,3000
30,22,limited_time_edition,1500
31,23,streaming,
32,24,streaming,
33,25,streaming,
34,25,normal,3080
35,25,limited_product_edition,9900
36,26,streaming,
37,27,streaming,
38,28,streaming,
39,29,streaming,
40,30,limited_product_edition,6930
