id,title,announcement_date,release_date,production_type,,
2,フロップニク,,2020-06-01,single,,
3,常夜燈,,2020-07-28,single,,
6,スラップスティック・ガール,,2021-03-31,single,,
8,ゴースト,,2021-08-31,single,,
9,PEOPLE,,2021-09-01,single,,
10,怪獣,,2021-10-01,single,,
11,スクール!!,,2021-11-01,single,,
13,銃の部品,,2022-04-20,single,,
14,Re:銃の部品 feat.TOOBOE,,2022-05-20,single,,
16,紫陽花,,2022-06-29,single,,
19,DOGLAND,,2022-12-14,single,,
24,PEOPLE SAVE THE MACHINE,,2023-10-10,single,,
27,ハートブレイク・ダンスミュージック,,2023-12-25,single,,
