id,link_id,link_remark,linkable_type,linkable_id
1,1,アイワナビーフリー,Song,22
2,2,東京,Song,19
3,3,フロップニク,Song,10
4,4,常夜燈,Song,4
5,5,BUTTER COOKIES,Song,26
6,6,113号室,Song,14
7,7,ラヴ・ソング,Song,12
8,8,ゴースト,Song,29
9,9,PEOPLE,Song,37
10,9,PEOPLE,Disc,12
11,10,BLT フロップニク,Song,2
12,10,BLT フロップニク,Event,1
13,10,BLT フロップニク,Disc,12
14,11,怪獣,Song,3
15,12,スクール!!,Song,25
16,13,魔法の歌,Song,7
17,14,僕の心,Song,20
18,15,ベッドルーム大衆音楽（20211220 O-EAST）アイワナビーフリー,Song,22
19,15,ベッドルーム大衆音楽（20211220 O-EAST）アイワナビーフリー,Event,12
20,15,ベッドルーム大衆音楽（20211220 O-EAST）アイワナビーフリー,Disc,22
21,16,銃の部品,Song,5
22,17,YOUNG TOWN,Song,15
23,18,Deadstock,Song,13
24,19,DOGLAND,Song,1
25,20,Ratpark,Song,8
26,21,GOLD,Song,6
27,22,嘘だらけのPEOPLE 1（20221120 ZeppHaneda） スクール!!,Song,25
28,22,嘘だらけのPEOPLE 1（20221120 ZeppHaneda） スクール!!,Disc,25
29,22,嘘だらけのPEOPLE 1（20221120 ZeppHaneda） スクール!!,Event,26
30,23,嘘だらけのPEOPLE 1（20221120 ZeppHaneda） エッジワース・カイパーベルト,Song,11
31,23,嘘だらけのPEOPLE 1（20221120 ZeppHaneda） エッジワース・カイパーベルト,Disc,25
32,23,嘘だらけのPEOPLE 1（20221120 ZeppHaneda） エッジワース・カイパーベルト,Event,11
33,24,closer,Song,21
34,25,PEOPLE SAVE THE MACHINE,Song,17
35,25,PEOPLE SAVE THE MACHINE,Disc,24
36,26,PEOPLE SAVE THE FxxxING WORLD,Event,41
37,26,PEOPLE SAVE THE FxxxING WORLD,Disc,25
38,27,ドキドキする,Song,16
39,28,ハートブレイク・ダンスミュージック,Song,9
40,29,星巡り君に金星 Teaser,Disc,25
41,30,鈴々,Song,2
42,31,高円寺にて,Song,18
43,32,続LOVE2 犬園、常夜燈,Song,1
44,32,続LOVE2 犬園、常夜燈,Song,4
45,32,続LOVE2 犬園、常夜燈,Disc,30
46,32,続LOVE2 犬園、常夜燈,Event,47
47,33,さよなら僕ぱ 銃、鈴々,Song,5
48,33,さよなら僕ぱ 銃、鈴々,Song,2
49,33,さよなら僕ぱ 銃、鈴々,Disc,30
50,33,さよなら僕ぱ 銃、鈴々,Event,53
51,34,続LOVE2 怪獣 113号室,Song,3
52,34,続LOVE2 怪獣 113号室,Song,14
53,34,続LOVE2 怪獣 113号室,Disc,30
54,34,続LOVE2 怪獣 113号室,Event,47
55,35,さよなら僕ぱ 魔法の歌 GOLD,Song,7
56,35,さよなら僕ぱ 魔法の歌 GOLD,Song,6
57,35,さよなら僕ぱ 魔法の歌 GOLD,Disc,30
58,35,さよなら僕ぱ 魔法の歌 GOLD,Event,53
59,36,idiot,Song,34
60,37,メリバ,Song,33
61,38,エッジワース・カイパーベルト,Song,11
62,39,紫陽花,Song,23
63,40,さよならミュージック,Song,24
64,41,夏は巡る,Song,27
65,42,スラップスティック・ガール,Song,28
66,43,悪玉みたいに,Song,30
67,44,ライカ,Song,31
68,45,イマジネーションは尽きない,Song,32
69,46,君に金星,Song,35
70,47,バンド,Song,36
71,48,PEOPLE 2,Song,38
72,49,Intro -You mean the world to me-,Song,39
73,50,Outro (Because I Love You),Song,40
74,51,Re:銃の部品,Song,41
75,52,Re:Deadstock,Song,42
76,53,愛について,Song,43
77,54,怪獣（オリジナルMV）,Song,3
78,55,ラヴ・ソング（Itoさん弾き語り）,Song,12
79,56,魔法の歌（Itoさん弾き語り）,Song,7
80,57,東京（Itoさん弾き語り）,Song,19
81,58,僕の心（Itoさん弾き語り）,Song,20
82,59,113号室（オリジナルMV）,Song,14
83,60,エッジワース・カイパーベルト（オリジナルMV）,Song,11
84,61,スラップスティックガール（オリジナルMV）,Song,28
85,62,エッジワース・カイパーベルト（Deuさん弾き語り）,Song,11
86,63,怪獣（Itoさん弾き語り）,Song,3
87,64,BUTTER COOKIES（Itoさん弾き語り）,Song,26
88,65,ゴースト（Itoさん弾き語り）,Song,29
89,66,悪玉みたいに（オリジナルMV）,Song,30
90,67,銃の部品（PEOPLE+ライブ映像）,Song,5
91,67,銃の部品（PEOPLE+ライブ映像）,Tour,2
92,68,スクール!!（嘘だらけのPEOPLE 1ライブ映像）,Song,25
93,68,スクール!!（嘘だらけのPEOPLE 1ライブ映像）,Tour,3
94,69,DOGLAND（嘘だらけのPEOPLE 1ライブ映像）,Song,1
95,69,DOGLAND（嘘だらけのPEOPLE 1ライブ映像）,Tour,3
96,70,紫陽花（PSTFW ライブ映像）,Song,23
97,70,紫陽花（PSTFW ライブ映像）,Tour,4
98,71,Deadstock（Itoさん弾き語り）,Song,13
99,72,PSTFW PV,Tour,4
100,73,常夜燈（BLT）,Song,4
101,74,怪獣（ベッドルーム大衆音楽）,Song,3
102,74,怪獣（ベッドルーム大衆音楽）,Tour,1
103,75,PSTFW Trailer,Tour,4
104,76,PSTFW グッズ映像,Tour,4
105,77,エッジワース・カイパーベルト（JJ2023）,Song,11
106,78,怪獣（JJ2023）,Song,3
107,79,PSTFW Trailer,Tour,4
108,80,魔法の歌（ベッドルーム大衆音楽）,Song,7
109,80,魔法の歌（ベッドルーム大衆音楽）,Tour,1
110,81,PSTFW Trailer,Tour,4
111,82,PSTFW（新潟公演）,Event,32
112,83,PSTFW（仙台公演）,Event,33
113,84,PSTFW（札幌公演）,Event,34
114,85,PSTFW（香川公演）,Event,35
115,86,アルエ（PSTFW広島公演）,Event,36
116,87,PSTFW（広島公演）,Event,36
117,88,PSTFW（名古屋公演）,Event,38
118,89,PSTFW（福岡公演）,Event,39
119,90,PSTFW（羽田公演）,Event,40
120,91,夏は巡る（PSTFW）,Song,27
121,91,夏は巡る（PSTFW）,Tour,4
122,92,DOGLAND（PSTFW広島）,Song,1
123,92,DOGLAND（PSTFW広島）,Event,36
124,93,アイワナビーフリー（PSTFW東京二日目）,Song,22
125,93,アイワナビーフリー（PSTFW東京二日目）,Event,40
126,94,エッジワース・カイパーベルト（PSTFW東京二日目）,Song,11
127,94,エッジワース・カイパーベルト（PSTFW東京二日目）,Event,40
128,95,ゴースト（PSTFW大阪）,Song,29
129,95,ゴースト（PSTFW大阪）,Event,37
130,96,イマジネーションは尽きない（PSTFW東京二日目）,Song,32
131,96,イマジネーションは尽きない（PSTFW東京二日目）,Event,41
132,97,DOGLAND（PSTFW福岡）,Song,1
133,97,DOGLAND（PSTFW福岡）,Event,39
134,98,DOGLAND（PSTFW福岡）,Song,1
135,98,DOGLAND（PSTFW福岡）,Event,39
136,99,DOGLAND（PSTFW福岡）,Song,1
137,99,DOGLAND（PSTFW福岡）,Event,39
138,100,DOGLAND（PSTFW福岡）,Song,1
139,100,DOGLAND（PSTFW福岡）,Event,39
140,101,DOGLAND（NUMBERSHOT2023）,Song,1
141,101,DOGLAND（NUMBERSHOT2023）,Event,74
142,102,夏は巡る（NUMBERSHOT2023）,Song,27
143,102,夏は巡る（NUMBERSHOT2023）,Event,74
144,103,怪獣（PSTFW大阪）,Song,3
145,103,怪獣（PSTFW大阪）,Event,37
146,104,銃の部品（PSTFW）,Song,5
147,104,銃の部品（PSTFW）,Tour,4
148,105,魔法の歌（NUMBERSHOT2023）,Song,7
149,105,魔法の歌（NUMBERSHOT2023）,Event,74
150,106,PSTFW（お台場）,Event,41
151,107,Ratpark（PSTFW東京初日）,Song,8
152,107,Ratpark（PSTFW東京初日）,Event,40
153,108,フロップニク（PSTFW東京二日目）,Song,10
154,108,フロップニク（PSTFW東京二日目）,Event,41
155,109,DOGLAND（NUMBERSHOT2023）,Song,1
156,109,DOGLAND（NUMBERSHOT2023）,Event,74
157,110,スクール!!（嘘P大阪）,Song,25
158,110,スクール!!（嘘P大阪）,Event,25
159,111,夏は巡る（PSTFW東京初日）,Song,27
160,111,夏は巡る（PSTFW東京初日）,Event,40
161,112,GOLD（NUMBERSHOT2023）,Song,6
162,112,GOLD（NUMBERSHOT2023）,Event,74
163,113,銃の部品（PSTFW）,Song,5
164,113,銃の部品（PSTFW）,Tour,4
165,114,DOGLAND（NUMBERSHOT2023）,Song,1
166,114,DOGLAND（NUMBERSHOT2023）,Event,74
167,115,怪獣（HIGHHIGHHIGH）,Song,3
168,115,怪獣（HIGHHIGHHIGH）,Event,81
169,116,DOGLAND（ライジング）,Song,1
170,116,DOGLAND（ライジング）,Event,80
171,117,常夜燈（ロッキン2023）,Song,4
172,117,常夜燈（ロッキン2023）,Event,75
173,118,常夜燈（ロッキン2023）,Song,4
174,118,常夜燈（ロッキン2023）,Event,75
175,119,犬園（PSTFW）,Song,1
176,119,犬園（PSTFW）,Tour,4
177,120,怪獣（ライブ映像、どのライブかは不明）,Song,3
178,121,夏は巡る（モンバス2023）,Song,27
179,121,夏は巡る（モンバス2023）,Event,76
180,122,怪獣（スカイジャンボリー）,Song,3
181,122,怪獣（スカイジャンボリー）,Event,77
182,123,DOGLAND（ロッキン2023）,Song,1
183,123,DOGLAND（ロッキン2023）,Event,75
184,124,エッジワースカイパーベルト（ラブシャ2023）,Song,11
185,124,エッジワースカイパーベルト（ラブシャ2023）,Event,78
186,125,スクール!!（PSTFW東京二日目）,Song,25
187,125,スクール!!（PSTFW東京二日目）,Event,41
188,126,DOGLAND（PSTFW？）,Song,1
189,126,DOGLAND（PSTFW？）,Tour,4
190,127,夏は巡る（PSTFW）,Song,27
191,127,夏は巡る（PSTFW）,Tour,4
192,128,DOGLAND（PSTFW）,Song,1
193,128,DOGLAND（PSTFW）,Tour,4
194,129,銃の部品（PEOPLE+）,Song,5
195,129,銃の部品（PEOPLE+）,Tour,2
196,130,常夜燈（ベッドルーム大衆音楽）,Song,4
197,130,常夜燈（ベッドルーム大衆音楽）,Tour,1
198,131,紫陽花（PSTFW ライブ映像）,Song,23
199,131,紫陽花（PSTFW ライブ映像）,Tour,4
200,132,フロップニク（ミララボ2023）,Song,10
201,132,フロップニク（ミララボ2023）,Event,79
202,133,エッジワース・カイパーベルト（ミララボ2023）,Song,11
203,133,エッジワース・カイパーベルト（ミララボ2023）,Event,79
204,134,犬園（ライブ映像、どのライブかは不明）,Song,1
205,135,フロップニク（嘘P ZeppHaneda）,Song,10
206,135,フロップニク（嘘P ZeppHaneda）,Event,31
207,136,常夜燈（嘘P ZeppHaneda）,Song,4
208,136,常夜燈（嘘P ZeppHaneda）,Event,26
209,137,銃の部品（嘘P）,Song,5
210,137,銃の部品（嘘P）,Tour,3
211,138,犬園（嘘P ZeppYokohama）,Song,1
212,138,犬園（嘘P ZeppYokohama）,Event,31
213,139,ラヴ・ソング（嘘P ZeppHaneda）,Song,12
214,139,ラヴ・ソング（嘘P ZeppHaneda）,Event,26
215,140,魔法の歌（嘘P）,Song,7
216,140,魔法の歌（嘘P）,Tour,3
217,141,YOUNG TOWN（嘘P）,Song,15
218,141,YOUNG TOWN（嘘P）,Tour,3
219,142,東京（嘘P）,Song,19
220,142,東京（嘘P）,Tour,3
221,143,フロップニク（PSTFW ZeppDiversityTokyo),Song,10
222,143,フロップニク（PSTFW ZeppDiversityTokyo),Event,41
223,144,夏は巡る（PSTFW ZeppDiversityTokyo）,Song,27
224,144,夏は巡る（PSTFW ZeppDiversityTokyo）,Event,41
225,145,GOLD（PSTFW ZeppDiversityTokyo）,Song,6
226,145,GOLD（PSTFW ZeppDiversityTokyo）,Event,41
227,146,LOVE2 ティザー,Tour,5
228,147,僕ぱ　ティザー,Tour,6
229,148,HBDM（レディクレ2023）,Song,9
230,148,HBDM（レディクレ2023）,Event,82
231,149,エッジワース・カイパーベルト（レディクレ2023）,Song,9
232,149,エッジワース・カイパーベルト（レディクレ2023）,Event,82
233,150,HBDM（CDJ2324）,Song,9
234,150,HBDM（CDJ2324）,Event,83
235,151,犬園（レディクレ2023）,Song,1
236,151,犬園（レディクレ2023）,Event,82
237,152,怪獣（嘘P）,Song,3
238,152,怪獣（嘘P）,Tour,3
239,153,PEOPLE 1の世界 PV（僕ぱ）,Event,107
240,153,PEOPLE 1の世界 PV（僕ぱ）,Event,108
241,153,PEOPLE 1の世界 PV（僕ぱ）,Event,53
242,154,銃の部品（FUKUOKA MUSIC FES.2024）,Song,5
243,154,銃の部品（FUKUOKA MUSIC FES.2024）,Event,84
244,155,犬園（FUKUOKA MUSIC FES.2024）,Song,1
245,155,犬園（FUKUOKA MUSIC FES.2024）,Event,84
246,156,怪獣（LOVE2）,Song,3
247,156,怪獣（LOVE2）,Tour,5
248,157,DOGLAND（ヘッドフォンを外して）,Song,1
249,157,DOGLAND（ヘッドフォンを外して）,Event,86
250,158,銃の部品（ヘッドフォンを外して）,Song,5
251,158,銃の部品（ヘッドフォンを外して）,Event,86
252,159,高円寺にて（GOODFLAGS）,Song,18
253,159,高円寺にて（GOODFLAGS）,Event,88
254,160,スクール（ツタロック）,Song,25
255,160,スクール（ツタロック）,Event,89
256,161,鈴々（GoodFlags）,Song,2
257,161,鈴々（GoodFlags）,Event,88
258,162,犬園（JJ2024）,Song,1
259,162,犬園（JJ2024）,Event,94
260,163,鈴々（ロッキン2024）,Song,2
261,163,鈴々（ロッキン2024）,Event,100
262,164,idiot（ラブシャ2024）,Song,34
263,164,idiot（ラブシャ2024）,Event,102
264,165,メリバ（THISFES）,Song,33
265,165,メリバ（THISFES）,Event,105
266,166,メリバ（THISFES）,Song,33
267,166,メリバ（THISFES）,Event,105
268,167,DOGLAND（THISFES）,Song,1
269,167,DOGLAND（THISFES）,Event,105
