id,platform,remark,url_link
1,YouTube,アイワナビーフリー,https://youtu.be/OsrGKvCaL4Q?si=Y04UIe8deKJNFX8i
2,YouTube,東京,https://youtu.be/cY7Kfu0vc0A?si=fQeFsB2ZWcFohWE-
3,YouTube,フロップニク,https://youtu.be/xSwUJ66nuNk?si=iRxCl8Uibeu-b0aP
4,YouTube,常夜燈,https://youtu.be/OZpv_AcPCKg?si=AvcYCJCHQMcyGB_I
5,YouTube,BUTTER COOKIES,https://youtu.be/gmaN7xz0GeY?si=EPg_YYxjWkyRbEju
6,YouTube,113号室,https://youtu.be/4ewLWtoDhjQ?si=qL37Q1OCs2LWZHWa
7,YouTube,ラヴ・ソング,https://youtu.be/5_ucK-pxhQA?si=HHwm2s4bW7od2WWP
8,YouTube,ゴースト,https://youtu.be/n4ua31jGzD0?si=BkpXkx53uOWFxaiI
9,YouTube,PEOPLE,https://youtu.be/-1hbIieOZcg?si=MOi4bJa6CP-ZKaqY
10,YouTube,BLT フロップニク,https://youtu.be/PNGtPFJNgJM?si=fHAfcku4XT-kN0dB
11,YouTube,怪獣,https://youtu.be/7Y9rl_Uooak?si=wMvEZ-d7K1BznVIb
12,YouTube,スクール!!,https://youtu.be/GwusDePzZq8?si=-O-dtn5ruKEntHAs
13,YouTube,魔法の歌,https://youtu.be/7EiQnMK0-R4?si=voERAZflFDtRUhTp
14,YouTube,僕の心,https://youtu.be/a-xQCcNeZgw?si=SqVzYMSnWIDpWN4G
15,YouTube,ベッドルーム大衆音楽（20211220 O-EAST）アイワナビーフリー,https://youtu.be/zMEQAIRqfAE?si=l_wPlcr42ugQ_xGX
16,YouTube,銃の部品,https://youtu.be/uwhDmk-aPP0?si=PJfj76UBjuO55hLh
17,YouTube,YOUNG TOWN,https://youtu.be/584WpdAeKjg?si=x45NcYNS-Xl5f8gP
18,YouTube,Deadstock,https://youtu.be/pB4Bl5kDWck?si=V_fL_LgLY9nN0Guf
19,YouTube,DOGLAND,https://youtu.be/ba8XoFqIJVY?si=ciBkkXEdzNzH6UE_
20,YouTube,Ratpark,https://youtu.be/j5J95XD5mvQ?si=Q6dOvJNdiy3Tqw4n
21,YouTube,GOLD,https://youtu.be/Cnx03FzveUg?si=AJcE-g1VYEzmuPKc
22,YouTube,嘘だらけのPEOPLE 1（20221120 ZeppHaneda） スクール!!,https://youtu.be/oBeAnU_fk3s?si=XGweZT_2AQdQJt2U
23,YouTube,嘘だらけのPEOPLE 1（20221120 ZeppHaneda） エッジワース・カイパーベルト,https://youtu.be/_hzeg5HI7m8?si=1mGjB8aI_9HuWUix
24,YouTube,closer,https://youtu.be/ZJMv0eCDFvc?si=IGEI9e2nX5N_1i79
