name,name_kana_ruby,name_hiragana_ruby,youtube,jk
DOGLAND,ドッグランド,どっぐらんど,https://youtu.be/ba8XoFqIJVY?si=xHXCWiCdE-B5jPZV,app/assets/images/songs_jk/DOGLAND_jk.jpg
鈴々,リンリン,りんりん,https://youtu.be/7synqOiMORc?si=aZ0b9eVnNj-rMwXs,app/assets/images/songs_jk/星巡り_君に金星_jk.jpg
怪獣,カイジュウ,かいじゅう,https://youtu.be/7Y9rl_Uooak?si=Ud7IAC8hlRH0N8_i,app/assets/images/songs_jk/怪獣.jpeg
常夜燈,ジョウヤトウ,じょうやとう,https://youtu.be/OZpv_AcPCKg?si=5fvanryyT6BuW-5W,app/assets/images/songs_jk/常夜燈.jpg
銃の部品,ジュウノブヒン,じゅうのぶひん,https://youtu.be/uwhDmk-aPP0?si=ggWyH7uVsaPig3po,app/assets/images/songs_jk/gunparts.jpg
GOLD,ゴールド,ごーるど,https://youtu.be/Cnx03FzveUg?si=ZvCedNxXB_RV6nmG,app/assets/images/songs_jk/gold.jpg
魔法の歌,マホウノウタ,まほうのうた,https://youtu.be/7EiQnMK0-R4?si=K3ZdmndbGCKxGxTv,app/assets/images/songs_jk/people.jpg
Ratpark feat. 菅原圭,ラットパークフィートスガワラケイ,らっとぱーくふぃーとすがわらけい,https://youtu.be/j5J95XD5mvQ?si=uvwMt1UzDBWsXJPM,app/assets/images/songs_jk/ratparkjk.jpeg
ハートブレイク・ダンスミュージック,ハートブレイクダンスミュージック,はーとぶれいくだんすみゅーじっく,https://youtu.be/DExEdzJOs4w?si=jhGk2I4nQNEhL4QQ,app/assets/images/songs_jk/ハート_ブレイク_ダンスミュージックjk.jpeg
フロップニク,フロップニク,ふろっぷにく,https://youtu.be/xSwUJ66nuNk?si=zanMvSD4bS6S1g4I,app/assets/images/songs_jk/フロップニク.jpg
エッジワース・カイパーベルト,エッジワースカイパーベルト,えっじわーすかいぱーべると,https://youtu.be/o0__pDIipf8?si=_kNf5LWF6fCiVTdJ,app/assets/images/songs_jk/people.jpg
ラヴ・ソング,ラブソング,らぶそんぐ,https://youtu.be/5_ucK-pxhQA?si=05Otthrv4P6zXV8D,app/assets/images/songs_jk/SSSE.jpg
Deadstock feat. きのぽっぽ,デッドストックフィートキノポッポ,でっどすとっくふぃーときのぽっぽ,https://youtu.be/pB4Bl5kDWck?si=1OH4jh0hZHziDt5e,app/assets/images/songs_jk/deadstock.jpg
113号室,イチイチサンゴウシツ,いちいちさんごうしつ,https://youtu.be/4ewLWtoDhjQ?si=1Gmn8efXPlOXxGqr,app/assets/images/songs_jk/113号室.jpg
YOUNG TOWN,ヤングタウン,やんぐたうん,https://youtu.be/584WpdAeKjg?si=tDro1GOw9lIr-cp4,app/assets/images/songs_jk/young_town.jpg
ドキドキする,ドキドキスル,どきどきする,https://youtu.be/mjFAQva3r4Y?si=WaQtvamHv3DjUXpi,app/assets/images/songs_jk/ドキドキする.jpg
PEOPLE SAVE THE MACHINE,ピープルセーブザマシーン,ぴーぷるせーぶざましーん,https://youtu.be/vlI6gfzikOk?si=EJPbT7ma7gnzekpz,app/assets/images/songs_jk/pstm.jpg
高円寺にて,コウエンジニテ,こうえんじにて,https://youtu.be/0x10QFiv0qU?si=CpREaFn3bNl-GWNz,app/assets/images/songs_jk/星巡り_君に金星_jk.jpg
東京,トウキョウ,とうきょう,https://youtu.be/cY7Kfu0vc0A?si=x2iWbQsgu_3PG5q_,app/assets/images/songs_jk/taishu_ongaku.jpg
僕の心,ボクノココロ,ぼくのこころ,https://youtu.be/a-xQCcNeZgw?si=eyUu6E6z4k8N1aUe,app/assets/images/songs_jk/people.jpg
closer,クローザー,くろーざー,https://youtu.be/ZJMv0eCDFvc?si=Zy2etGn8DQ01-vS-,app/assets/images/songs_jk/closer.jpeg
アイワナビーフリー,アイワナビーフリー,あいわなびーふりー,https://youtu.be/OsrGKvCaL4Q?si=XTNQUD97uJpc509e,app/assets/images/songs_jk/taishu_ongaku.jpg
紫陽花,アジサイ,あじさい,https://youtu.be/imHLUW94lrM?si=NlScvwP1BEbKmF4H,app/assets/images/songs_jk/紫陽花.jpg
さよならミュージック,サヨナラミュージック,さよならみゅーじっく,https://youtu.be/Ey9LI6I9Gr0?si=iKLZddSdAnu6mmGM,app/assets/images/songs_jk/taishu_ongaku.jpg
スクール!!,スクール,すくーる,https://youtu.be/GwusDePzZq8?si=quDeR_YRFXIfd8xe,app/assets/images/songs_jk/スクール.jpg
BUTTER COOKIES,バタークッキーズ,ばたーくっきーず,https://youtu.be/gmaN7xz0GeY?si=LHpwMm5fw_LSeBbM,app/assets/images/songs_jk/gangage.jpg
夏は巡る,ナツハメグル,なつはめぐる,https://youtu.be/K7h1WF73YwM?si=E6APS3DwLYJJhzZ9,app/assets/images/songs_jk/gold.jpg
スラップスティック・ガール,スラップスティックガール,すらっぷすてぃっくがーる,https://youtu.be/clLgrNUJxfU?si=8c0iemAK9N3Apgmx,app/assets/images/songs_jk/スラップスティックガール.jpg
ゴースト,ゴースト,ごーすと,https://youtu.be/n4ua31jGzD0?si=ovgO_9VxjO7nojeD,app/assets/images/songs_jk/ghost.jpg
悪玉みたいに,ヒールミタイニ,ひーるみたいに,https://youtu.be/goTjawxpT1A?si=zpYWcDyO0TGAuTY1,app/assets/images/songs_jk/SSSE.jpg
ライカ,ライカ,らいか,https://youtu.be/39owJHkGQso?si=rc7y1tK0PXYpgyX9,app/assets/images/songs_jk/gangage.jpg
イマジネーションは尽きない,イマジネーションハツキナイ,いまじねーしょんはつきない,https://youtu.be/D4XuJTyu5bI?si=pq3LKmzPKOnj1J_P,app/assets/images/songs_jk/gangage.jpg
